"article_id";"doi";"title";"text";"section";"header";"div";"p";"s";"p_comp";"p_value";"machine_statement";"machine_context";"human_statement"
956797616647519;"10.1177/0956797616647519";"Researchers' Intuitions About Power in Psychological Research";"p = .329";"results";"Results";5;4;8;"=";0,329;"We did not find a significant effect of component score on power estimates for the small-ES scenario (b = -0.01, t = -0.98, p = .329).";"No interactions between condition and component score were found. We did not find a significant effect of component score on power estimates for the small-ES scenario (b = -0.01, t = -0.98, p = .329). However, when the ES was medium or large, respondents with higher component scores had higher (and hence more accurate) power estimates (b = 0.02, t = 2.26, p = .025, and b = 0.04, t = 3.94, p < .001, respectively).";NA
956797616647519;"10.1177/0956797616647519";"Researchers' Intuitions About Power in Psychological Research";"p = .185";"results";"Results";5;4;11;"=";0,185;"Component score did not significantly predict sample-size estimates when the ES was small or medium (b = 16.54, t = 1.33, p = .185, and b = -6.30, t = -1.05, p = .296, respectively).";"Furthermore, when the specified ES was large, respondents with higher component scores gave smaller estimates of the sample size required to achieve a power of .80 (b = -12.89, t = -2.56, p = .011), which again resulted in estimates closer to the true value. Furthermore, when the specified ES was large, respondents with higher component scores gave smaller estimates of the sample size required to achieve a power of .80 (b = -12.89, t = -2.56, p = .011), which again resulted in estimates closer to the true value. Component score did not significantly predict sample-size estimates when the ES was small or medium (b = 16.54, t = 1.33, p = .185, and b = -6.30, t = -1.05, p = .296, respectively). Component score did not significantly predict sample-size estimates when the ES was small or medium (b = 16.54, t = 1.33, p = .185, and b = -6.30, t = -1.05, p = .296, respectively).";NA
956797616665351;"10.1177/0956797616665351";"Bayesian models have become popular means of explaining behavior in a number of psychological domains. These behaviors range from how people judge basic perceptual features, such as motion";"p = .53";"results";"Results";7;4;4;"=";0,53;"Three were nonsignificant (lowest p = .53), with Bayes factors (BFs) favoring the null hypothesis (lowest BF 01 = 3.71; 1 we assumed a flat prior for the correlation).";"S2 in the Supplemental Material for associated scatterplots). Three were nonsignificant (lowest p = .53), with Bayes factors (BFs) favoring the null hypothesis (lowest BF 01 = 3.71; 1 we assumed a flat prior for the correlation). The fourth correlation between autism trait and the lowcontrast threshold was also nonsignificant (p = .07), but the Bayes factor for this case neither favored the null nor experimental hypothesis (BF 01 = 0.86).";NA
956797616665351;"10.1177/0956797616665351";"Bayesian models have become popular means of explaining behavior in a number of psychological domains. These behaviors range from how people judge basic perceptual features, such as motion";"p = .07";"results";"Results";7;4;5;"=";0,07;"The fourth correlation between autism trait and the lowcontrast threshold was also nonsignificant (p = .07), but the Bayes factor for this case neither favored the null nor experimental hypothesis (BF 01 = 0.86).";"Three were nonsignificant (lowest p = .53), with Bayes factors (BFs) favoring the null hypothesis (lowest BF 01 = 3.71; 1 we assumed a flat prior for the correlation). The fourth correlation between autism trait and the lowcontrast threshold was also nonsignificant (p = .07), but the Bayes factor for this case neither favored the null nor experimental hypothesis (BF 01 = 0.86). For Experiment 1, we also looked at the correlations between the trait measure and eye movement accuracy, because any relationship between the two could act as an indirect link between the prior and the reliability of the sensory evidence.";NA
956797616665351;"10.1177/0956797616665351";"Bayesian models have become popular means of explaining behavior in a number of psychological domains. These behaviors range from how people judge basic perceptual features, such as motion";"p = .35";"results";"Results";7;4;7;"=";0,35;"Neither correlation was significant (lowest p = .35).";"For Experiment 1, we also looked at the correlations between the trait measure and eye movement accuracy, because any relationship between the two could act as an indirect link between the prior and the reliability of the sensory evidence. Neither correlation was significant (lowest p = .35). Our data therefore provide good support for key assumptions in the model.";NA
956797617724435;"10.1177/0956797617724435";"Uncovering the Power of Personality to Shape Income";"p < .12";"discussion";"Discussion";8;3;8;"<";0,12;"The fit bonus is reported only for those traits that had at least a marginally significant a4 parameter (p < .12).";"The labels for the groups indicate the categorization of the jobholder and then the categorization of the job; for example, ""LH"" refers to individuals who had low levels of the indicated trait and jobs that demanded high levels of that trait. The fit bonus is reported only for those traits that had at least a marginally significant a4 parameter (p < .12).";NA
956797618755322;"10.1177/0956797618755322";"Structure and Implementation of Novel Task Rules: A Cross-Sectional Developmental Study";"p = .051";"results";"Next phase";9;1;6;"=";0,051;"For the RT analysis that included only correct next responses, the interaction was not significant (p = .051) when adolescents were included, but it was significant (p = .002) without them (i.e., when the ""extreme"" group was excluded; see above).";"This decrease can also be seen in Figure 2d, which shows how the intention-based interference effect is influenced by age and overall response speed. For the RT analysis that included only correct next responses, the interaction was not significant (p = .051) when adolescents were included, but it was significant (p = .002) without them (i.e., when the ""extreme"" group was excluded; see above). The interaction was not significant in both accuracy analyses (ps > .14).";NA
956797618755322;"10.1177/0956797618755322";"Structure and Implementation of Novel Task Rules: A Cross-Sectional Developmental Study";"p = .292";"results";"Exploratory analyses";11;2;2;"=";0,292;"A decrease was observed for all age groups, and the three-way interaction was nonsignificant, p = .292.";"The main RT analysis with all next responses included (Fig. 3b), revealed that the instruction-based interference effect decreased substantially throughout the experiment (first half: next effect = 267 ms; second half: next effect = 141 ms; p = .007, Table 6). A decrease was observed for all age groups, and the three-way interaction was nonsignificant, p = .292. The correct-RT analyses did not reveal any significant interactions between the interference effect and experiment half.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .673";"results";"Results";6;2;1;"=";0,673;"There was a significant effect of feeling small on the number of coins given away in the dictator game, Wald χ 2 (1) = 4.85, p = .028, while participant sex did not predict coin allocation, Wald χ 2 (1) = .18, p = .673.";"There was a significant effect of feeling small on the number of coins given away in the dictator game, Wald χ 2 (1) = 4.85, p = .028, while participant sex did not predict coin allocation, Wald χ 2 (1) = .18, p = .673. Furthermore, there was a significant interaction between participant sex and feeling small on coin allocation, Wald χ 2 (1) = 4.83, p = .028.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .996";"results";"Results";6;2;3;"=";0,996;"Parameter estimates showed that feeling small led to a decrease in coins allocated to other people for male participants, Wald χ 2 (1) = 6.20, b = -0.161, SE = 0.065, 95% confidence interval (CI) = [-0.288, -0.034], p = .013, but not for female participants, Wald χ 2 (1) < .001, b < 0.001, SE = 0.034, 95% CI = [-0.068, 0.067], p = .996.";"Furthermore, there was a significant interaction between participant sex and feeling small on coin allocation, Wald χ 2 (1) = 4.83, p = .028. Parameter estimates showed that feeling small led to a decrease in coins allocated to other people for male participants, Wald χ 2 (1) = 6.20, b = -0.161, SE = 0.065, 95% confidence interval (CI) = [-0.288, -0.034], p = .013, but not for female participants, Wald χ 2 (1) < .001, b < 0.001, SE = 0.034, 95% CI = [-0.068, 0.067], p = .996. Applying a bootstrapping procedure (1,000 resam ples, 95% CI bias-corrected and accelerated) corroborated the finding that male participants who felt smaller gave away fewer coins, b = -0.161, SE = 0.085, 95% CI = [-0.315, -0.011], p = .029 (Fig.";NA
