"statement";"label";"corrected"
"In the no motivation condition, there was no simple effect of frame (b = 0.20, 95% CI = [-0.10, 0.49], z = 1.32, p = .187, OR = 1.22, 95% CI = [0.90, 1.63]).";1;"In the no motivation condition, there was no significant simple effect of frame (b = 0.20, 95% CI = [-0.10, 0.49], z = 1.32, p = .187, OR = 1.22, 95% CI = [0.90, 1.63])."
"When participants made large errors on previous trials, their encoding speed on subsequent trials was the same, or if anything slightly lower (Î² = -0.121, t = -1.69, p = .094, BF 10 = 0.374, Î”BIC = -1.98; see Fig. S2 in the Supplemental Material).";1;"When participants made large errors on previous trials, their encoding speed on subsequent trials was not significantly different, or if anything slightly lower (β = -0.121, t = -1.69, p = .094, BF 10 = 0.374, ΔBIC = -1.98; see Fig. S2 in the Supplemental Material)."
"In addition, LPIPS scores were not correlated with trial-wise aesthetic ratings (for self-relevant trials, r = -.046, p = .19; for other-relevant trials, r = .00023, p = .99).";1;"In addition, LPIPS scores were not significantly correlated with trial-wise aesthetic ratings (for self-relevant trials, r = -.046, p = .19; for other-relevant trials, r = .00023, p = .99)."
"This preference, however, disappeared in the experimental condition, F(1, 170) = 2.32, p = .130, Î· p 2 = .01.";1;"This preference, however, showed no significant difference in the experimental condition, F(1, 170) = 2.32, p = .130, Î· p 2 = .01."
"Most importantly, neither the effect of the stimulation, F(2, 58) = 0.970, p = .385, Î· p 2 = .032, nor its interaction with age level, F(12, 348) = 0.694, p = .758, Î· p 2 = .23, were significant, suggesting that age estimation was not modulated by alpha or beta oscillations (for the analysis comparing the MTT task with the age estimation task, see ""Supplementary Results"" at <https://osf.io/24cs7/>).";1;"Most importantly, neither the effect of the stimulation, F(2, 58) = 0.970, p = .385, Î· p 2 = .032, nor its interaction with age level, F(12, 348) = 0.694, p = .758, Î· p 2 = .023, were significant, suggesting that age estimation was not significantly modulated by alpha or beta oscillations (for the analysis comparing the MTT task with the age estimation task, see ""Supplementary Results"" at <https://osf.io/24cs7/>)."
"Higher income was not associated with decreased trait empathic concern, b = -0.04, SE = 0.05, t(232) = -0.73, p = .466, r = .05, or decreased extent of compassion in daily life, b = 0.06, SE = 0.06, t(200) = 0.88, p = .380, r = .06.";1;"Higher income was not significantly associated with decreased trait empathic concern, b = -0.04, SE = 0.05, t(232) = -0.73, p = .466, r = .05, or with decreased extent of compassion in daily life, b = 0.06, SE = 0.06, t(200) = 0.88, p = .380, r = .06."
"Comparing these correlation coefficients, we found that participants in the disagreeing-perspective condition again produced more diverse errors than participants in both the self-perspective condition (d = 0.78) and agreeingperspective condition (d = 0.71; both ps < .001), whereas there was no difference in error diversity between the self-perspective and agreeing-perspective conditions (d = 0.07, p = .26).";1;"Comparing these correlation coefficients, we found that participants in the disagreeing-perspective condition again produced more diverse errors than participants in both the self-perspective condition (d = 0.78) and agreeing-perspective condition (d = 0.71; both ps < .001), whereas we found no significant difference in error diversity between the self-perspective and agreeing-perspective conditions (d = 0.07, p = .26)."
"The Participant Group Ã— Tweet type interaction was significant, b = 0.24, SE = 0.05, t(4552) = 5.24, p < .001: Across measures, frequent reactors responded more positively to dismissing versus engaging tweets, b = -0.24, SE = 0.03, t(4552) = 7.12, p < .001, but everyone else did not, b = -0.00, SE = 0.04, t(4552) = -0.07, p = .946.";1;"The Participant Group × Tweet type interaction was significant, b = 0.24, SE = 0.05, t(4552) = 5.24, p < .001: Across measures, frequent reactors responded more positively to dismissing versus engaging tweets, b = -0.24, SE = 0.03, t(4552) = 7.12, p < .001, but everyone else did not show a significant difference, b = -0.00, SE = 0.04, t(4552) = -0.07, p = .946."
"Study S2 shows that participants imagined people with depression as a bit shorter than people without depression, but this result did not reach conventional statistical significance (p = .08, d = 0.26).";0;"Study S2 shows that participants imagined people with depression as a bit shorter than people without depression, but this result did not reach conventional statistical significance (p = .08, d = 0.26), suggesting that there may be a small difference, although it was not statistically significant."
"Only in the twin sample did a lower age of onset predict higher levels of melody discrimination (Î² = -0.09, p = .23 in musicians; Î² = -0.05, p = .001 in twins).";1;"Only in the twin sample was there a significant association between a lower age of onset and higher levels of melody discrimination (Î² = -0.09, p = .23 in musicians; Î² = -0.05, p = .001 in twins), whereas in musicians, the association was not statistically significant."
