loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7089,17.8961124420166,1.803703703703704e-05,1.0,54,,,,,,,,,,,,,
,,,1.0,54,0.6743131279945374,0.6261682242990654,0.8095238095238095,0.32075471698113206,0.4594594594594595,0.4935,216.802,28.367,,,,,
0.6254,9.522637367248535,1.6037037037037038e-05,2.0,108,,,,,,,,,,,,,
,,,2.0,108,0.4859654903411865,0.8598130841121495,0.8653846153846154,0.8490566037735849,0.8571428571428571,0.4886,218.972,28.651,,,,,
0.3564,14.204758644104004,1.4037037037037038e-05,3.0,162,,,,,,,,,,,,,
,,,3.0,162,0.37795889377593994,0.8598130841121495,0.8392857142857143,0.8867924528301887,0.8623853211009175,0.4906,218.12,28.539,,,,,
0.1679,0.7574348449707031,1.2037037037037039e-05,4.0,216,,,,,,,,,,,,,
,,,4.0,216,0.4175276756286621,0.897196261682243,0.92,0.8679245283018868,0.8932038834951457,0.4927,217.178,28.416,,,,,
0.0762,0.39861151576042175,1.003703703703704e-05,5.0,270,,,,,,,,,,,,,
,,,5.0,270,0.49664542078971863,0.8878504672897196,0.9183673469387755,0.8490566037735849,0.8823529411764706,0.4867,219.864,28.767,,,,,
,,,5.0,270,,,,,,,,,86.5401,49.11,6.24,229322868075000.0,0.3869640968464039
