loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7118,6.666149139404297,1.87890625e-05,1.0,32,,,,,,,,,,,,,
,,,1.0,32,0.6827507615089417,0.5789473684210527,0.7,0.25,0.3684210526315789,0.2959,192.631,13.518,,,,,
0.6274,6.465213775634766,1.75390625e-05,2.0,64,,,,,,,,,,,,,
,,,2.0,64,0.5703527927398682,0.7719298245614035,0.9411764705882353,0.5714285714285714,0.7111111111111111,0.2895,196.896,13.817,,,,,
0.3567,7.854964733123779,1.62890625e-05,3.0,96,,,,,,,,,,,,,
,,,3.0,96,0.3214462995529175,0.8947368421052632,1.0,0.7857142857142857,0.88,0.2945,193.563,13.583,,,,,
0.1596,17.05672836303711,1.50390625e-05,4.0,128,,,,,,,,,,,,,
,,,4.0,128,0.20189061760902405,0.9473684210526315,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.2993,190.436,13.364,,,,,
0.0718,0.23602165281772614,1.37890625e-05,5.0,160,,,,,,,,,,,,,
,,,5.0,160,0.22051240503787994,0.9298245614035088,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.2999,190.037,13.336,,,,,
0.0401,0.24873735010623932,1.25390625e-05,6.0,192,,,,,,,,,,,,,
,,,6.0,192,0.24062733352184296,0.9473684210526315,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.3017,188.955,13.26,,,,,
,,,6.0,192,,,,,,,,,106.2368,76.358,4.819,400191915202560.0,0.3279104133447011
