loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.71,5.661776542663574,1.87890625e-05,1.0,32,,,,,,,,,,,,,
,,,1.0,32,0.6505370140075684,0.5964912280701754,0.5609756097560976,0.8214285714285714,0.6666666666666666,0.3649,156.209,10.962,,,,,
0.5895,13.249839782714844,1.75390625e-05,2.0,64,,,,,,,,,,,,,
,,,2.0,64,0.3204178512096405,0.9298245614035088,0.9,0.9642857142857143,0.9310344827586207,0.2954,192.964,13.541,,,,,
0.3178,15.304611206054688,1.62890625e-05,3.0,96,,,,,,,,,,,,,
,,,3.0,96,0.2968524098396301,0.8421052631578947,1.0,0.6785714285714286,0.8085106382978723,0.2968,192.03,13.476,,,,,
0.1466,0.4329735040664673,1.50390625e-05,4.0,128,,,,,,,,,,,,,
,,,4.0,128,0.19067351520061493,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.2998,190.155,13.344,,,,,
0.0671,0.4183497428894043,1.37890625e-05,5.0,160,,,,,,,,,,,,,
,,,5.0,160,0.12135183811187744,0.9649122807017544,1.0,0.9285714285714286,0.9629629629629629,0.2898,196.654,13.8,,,,,
0.053,0.06721790879964828,1.25390625e-05,6.0,192,,,,,,,,,,,,,
,,,6.0,192,0.18946486711502075,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.2882,197.801,13.881,,,,,
0.0306,0.03530770540237427,1.12890625e-05,7.0,224,,,,,,,,,,,,,
,,,7.0,224,0.1890411525964737,0.9473684210526315,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.2969,191.967,13.471,,,,,
,,,7.0,224,,,,,,,,,128.1701,63.291,3.995,466890567736320.0,0.273518135238971
