"text";"section";"header";"div";"p";"s";"id";"p_comp";"p_value";"expanded";"context"
"p = .153";"results";"Results";7;2;2;"0956797614522816";"=";0,153;"There was also a main effect of stimuli type, F(3, 78) = 12.910, p < .001, η p 2 = .332 (Ms = 2,832, 2,709, 3,419, and 2,157 ms for classrooms, pools, restaurants, and roads, respectively), but no interaction between the two factors, F(3, 78) = 1.805, p = .153, η p 2 = .065 (Table 1).";"We found a main effect of judgment on response time (RT); processing was faster in the basic condition (M = 2,305 ms) than in the subordinate condition (M = 3,253 ms), F(1, 26) = 9.277, p = .005, η p 2 = .263. There was also a main effect of stimuli type, F(3, 78) = 12.910, p < .001, η p 2 = .332 (Ms = 2,832, 2,709, 3,419, and 2,157 ms for classrooms, pools, restaurants, and roads, respectively), but no interaction between the two factors, F(3, 78) = 1.805, p = .153, η p 2 = .065 (Table 1). The RT difference suggests that participants' ability to categorize a scene depends on the information needed for each level of specificity."
"p = .315";"results";"Results";7;2;7;"0956797614522816";"=";0,315;"There was also a main effect of stimuli type, F(3, 78) = 9.558, p < .001, η p 2 = .269 (Ms = 7.76, 7.23, 9.36, and 5.89 for classrooms, pools, restaurants, and roads, respectively), but no interaction, F(3, 78) = 1.201, p = .315, η p 2 = .044 (Table 1).";"We found a main effect of judgment on fixation count, with more fixations made during subordinate categorizations (M = 9.72) than during basic categorizations (M = 5.40), F(1, 26) = 17.906, p < .001, η p 2 = .408. There was also a main effect of stimuli type, F(3, 78) = 9.558, p < .001, η p 2 = .269 (Ms = 7.76, 7.23, 9.36, and 5.89 for classrooms, pools, restaurants, and roads, respectively), but no interaction, F(3, 78) = 1.201, p = .315, η p 2 = .044 (Table 1). Thus, participants did indeed generate eye movements to supplement visible LSF information with HSF details."
"p = .09";"results";"Eye movement strategies";8;3;2;"0956797614522816";"=";0,09;"There was a main effect of judgment on fixation duration, F(1, 26) = 8.246, p = .008, η p 2 = .241 (basic: M = 381 ms; subordinate: M = 300 ms), a trend for stimuli type, F(3, 78) = 2.242, p = .09, η p 2 = .079 (Ms = 329, 354, 341, and 335 ms for classrooms, pools, restaurants, and roads, respectively), as well as a significant interaction, F(3, 78) = 3.207, p = .028, η p 2 = .110.";"We then examined fixation durations (not including the initial saccade latency) and saccade amplitudes. There was a main effect of judgment on fixation duration, F(1, 26) = 8.246, p = .008, η p 2 = .241 (basic: M = 381 ms; subordinate: M = 300 ms), a trend for stimuli type, F(3, 78) = 2.242, p = .09, η p 2 = .079 (Ms = 329, 354, 341, and 335 ms for classrooms, pools, restaurants, and roads, respectively), as well as a significant interaction, F(3, 78) = 3.207, p = .028, η p 2 = .110. This interaction occurred because participants in the basic condition had numerically longer fixations when categorizing pool scenes (M = 383 ms) compared with participants in the subordinate condition (M = 325 ms), t(26) = 1.598, p = .122; fixation durations for all other scenes were significant, ts > 2.370, ps < .025 (Table 1)."
"p = .122";"results";"Eye movement strategies";8;3;3;"0956797614522816";"=";0,122;"This interaction occurred because participants in the basic condition had numerically longer fixations when categorizing pool scenes (M = 383 ms) compared with participants in the subordinate condition (M = 325 ms), t(26) = 1.598, p = .122; fixation durations for all other scenes were significant, ts > 2.370, ps < .025 (Table 1).";"There was a main effect of judgment on fixation duration, F(1, 26) = 8.246, p = .008, η p 2 = .241 (basic: M = 381 ms; subordinate: M = 300 ms), a trend for stimuli type, F(3, 78) = 2.242, p = .09, η p 2 = .079 (Ms = 329, 354, 341, and 335 ms for classrooms, pools, restaurants, and roads, respectively), as well as a significant interaction, F(3, 78) = 3.207, p = .028, η p 2 = .110. This interaction occurred because participants in the basic condition had numerically longer fixations when categorizing pool scenes (M = 383 ms) compared with participants in the subordinate condition (M = 325 ms), t(26) = 1.598, p = .122; fixation durations for all other scenes were significant, ts > 2.370, ps < .025 (Table 1). There was no effect of judgment on saccade amplitudes (F < 1); however, as one would expect given the different layouts between the different category groups, there was a main effect of stimuli type, F(3, 78) = 5.882, p = .001, η p 2 = .184 (Ms = 2.75°, 2.31°, 2.72°, and 2.51° for classrooms, pools, restaurants, and roads, respectively; Table 1)."
"p = .237";"results";"Eye movement strategies";8;3;5;"0956797614522816";"=";0,237;"There was no interaction, F(3, 78) = 1.444, p = .237, η p 2 = .053.";"There was no effect of judgment on saccade amplitudes (F < 1); however, as one would expect given the different layouts between the different category groups, there was a main effect of stimuli type, F(3, 78) = 5.882, p = .001, η p 2 = .184 (Ms = 2.75°, 2.31°, 2.72°, and 2.51° for classrooms, pools, restaurants, and roads, respectively; Table 1). There was no interaction, F(3, 78) = 1.444, p = .237, η p 2 = .053. These results demonstrate that participants' initial and subsequent fixation durations differed depending on the categorization being made, a finding that supports different ongoing processes."
"p = .156";"results";"Gaze patterns";9;3;2;"0956797614522816";"=";0,156;"For the sake of completeness, there was no main effect of judgment, F(1, 22) = 2.163, p = .156, η p 2 = .090, though there was an effect of stimuli type, F(3, 66) = 4.342, p = .007, η p 2 = .165 (Ms = 3.88°, 3.47°, 3.87°, and 3.52° for classrooms, pools, restaurants, and roads, respectively) as well as of ordinal fixation, F(2.286, 50.288) = 42.240, p < .001, η p 2 = .658 (Ms = 2.55°, 3.28°, 3.86°, 4.26°, and 4.48° from the center for Fixations 1 through 5, respectively).";"Participants directed fixations further into the periphery of the scene during their first five fixations in the subordinate condition than in the basic condition, which suggests a wider search for diagnostic object information. For the sake of completeness, there was no main effect of judgment, F(1, 22) = 2.163, p = .156, η p 2 = .090, though there was an effect of stimuli type, F(3, 66) = 4.342, p = .007, η p 2 = .165 (Ms = 3.88°, 3.47°, 3.87°, and 3.52° for classrooms, pools, restaurants, and roads, respectively) as well as of ordinal fixation, F(2.286, 50.288) = 42.240, p < .001, η p 2 = .658 (Ms = 2.55°, 3.28°, 3.86°, 4.26°, and 4.48° from the center for Fixations 1 through 5, respectively). There was no interaction between stimuli type and ordinal count (F < 1), no interaction between judgment and stimuli type, F(3, 66) = 2.012, p = .121, η p 2 = .084, and no three-way interaction (F < 1)."
"p = .121";"results";"Gaze patterns";9;3;3;"0956797614522816";"=";0,121;"There was no interaction between stimuli type and ordinal count (F < 1), no interaction between judgment and stimuli type, F(3, 66) = 2.012, p = .121, η p 2 = .084, and no three-way interaction (F < 1).";"For the sake of completeness, there was no main effect of judgment, F(1, 22) = 2.163, p = .156, η p 2 = .090, though there was an effect of stimuli type, F(3, 66) = 4.342, p = .007, η p 2 = .165 (Ms = 3.88°, 3.47°, 3.87°, and 3.52° for classrooms, pools, restaurants, and roads, respectively) as well as of ordinal fixation, F(2.286, 50.288) = 42.240, p < .001, η p 2 = .658 (Ms = 2.55°, 3.28°, 3.86°, 4.26°, and 4.48° from the center for Fixations 1 through 5, respectively). There was no interaction between stimuli type and ordinal count (F < 1), no interaction between judgment and stimuli type, F(3, 66) = 2.012, p = .121, η p 2 = .084, and no three-way interaction (F < 1)."
"p = .072";"results";"Validation of diagnostic objects";11;2;3;"0956797614522816";"=";0,072;"There was also a trend for an interaction, F(1, 34) = 3.456, p = .072, η p 2 = .092 (Fig. 6), which was due to a significant change in subordinate categorization accuracy when basic or subordinate diagnostic objects were visible (Ms = .65 and .76, respectively), t(17) = 4.134, p = .001, but no significant difference during basic categorization (basic diagnostic objects: M = .77 and subordinate diagnostic objects: M = .81), t(17) = 1.506, p = .151.";"Analyses revealed a main effect of judgment on accuracy, F(1, 34) = 9.339, p = .004, η p 2 = .215 (basic: M = .79; subordinate: M = .71) and a main effect of diagnostic information, F(1, 34) = 15.871, p < .001, η p 2 = .318 (basic: M = .71; subordinate: M = .79). Analyses revealed a main effect of judgment on accuracy, F(1, 34) = 9.339, p = .004, η p 2 = .215 (basic: M = .79; subordinate: M = .71) and a main effect of diagnostic information, F(1, 34) = 15.871, p < .001, η p 2 = .318 (basic: M = .71; subordinate: M = .79). There was also a trend for an interaction, F(1, 34) = 3.456, p = .072, η p 2 = .092 (Fig. 6), which was due to a significant change in subordinate categorization accuracy when basic or subordinate diagnostic objects were visible (Ms = .65 and .76, respectively), t(17) = 4.134, p = .001, but no significant difference during basic categorization (basic diagnostic objects: M = .77 and subordinate diagnostic objects: M = .81), t(17) = 1.506, p = .151. There was also a trend for an interaction, F(1, 34) = 3.456, p = .072, η p 2 = .092 (Fig. 6), which was due to a significant change in subordinate categorization accuracy when basic or subordinate diagnostic objects were visible (Ms = .65 and .76, respectively), t(17) = 4.134, p = .001, but no significant difference during basic categorization (basic diagnostic objects: M = .77 and subordinate diagnostic objects: M = .81), t(17) = 1.506, p = .151. The results confirm that the objects fixated during the gaze-contingent experiment were indeed diagnostic for the respective categorization processes. The results confirm that the objects fixated during the gaze-contingent experiment were indeed diagnostic for the respective categorization processes."
"p = .070";"results";"Behavior verification";12;1;3;"0956797614522816";"=";0,07;"During these normal viewing conditions, there was a strong trend of judgment on RT, F(1, 26) = 3.568, p = .070, η p 2 = .121, with basic categorization needing less time (1,062 ms) than subordinate categorization (1,272 ms).";"Half were assigned to make basic judgments, and half were assigned to make subordinate judgments. During these normal viewing conditions, there was a strong trend of judgment on RT, F(1, 26) = 3.568, p = .070, η p 2 = .121, with basic categorization needing less time (1,062 ms) than subordinate categorization (1,272 ms). There was a main effect of stimuli type, F(2.084, 54.188) = 7.080, p = .002, η p 2 = .214 (Ms = 1,269, 1,128, 1,273, and 998 ms for classrooms, pools, restaurants, and roads, respectively) as well as a trend for an interaction, F(3, 78) = 2.596, p = .058, η p 2 = .091, which was due to restaurants taking significantly longer to categorize at the subordinate level (M = 1,471 ms) than at the basic level (M = 1,075 ms), t(26) = 3.00, p = .006."
"p = .058";"results";"Behavior verification";12;1;4;"0956797614522816";"=";0,058;"There was a main effect of stimuli type, F(2.084, 54.188) = 7.080, p = .002, η p 2 = .214 (Ms = 1,269, 1,128, 1,273, and 998 ms for classrooms, pools, restaurants, and roads, respectively) as well as a trend for an interaction, F(3, 78) = 2.596, p = .058, η p 2 = .091, which was due to restaurants taking significantly longer to categorize at the subordinate level (M = 1,471 ms) than at the basic level (M = 1,075 ms), t(26) = 3.00, p = .006.";"During these normal viewing conditions, there was a strong trend of judgment on RT, F(1, 26) = 3.568, p = .070, η p 2 = .121, with basic categorization needing less time (1,062 ms) than subordinate categorization (1,272 ms). There was a main effect of stimuli type, F(2.084, 54.188) = 7.080, p = .002, η p 2 = .214 (Ms = 1,269, 1,128, 1,273, and 998 ms for classrooms, pools, restaurants, and roads, respectively) as well as a trend for an interaction, F(3, 78) = 2.596, p = .058, η p 2 = .091, which was due to restaurants taking significantly longer to categorize at the subordinate level (M = 1,471 ms) than at the basic level (M = 1,075 ms), t(26) = 3.00, p = .006. Similar numerical patterns were obtained for classrooms (basic: M = 1,204 ms; subordinate: M = 1,333 ms), pools (basic: M = 989 ms; subordinate: M = 1,266 ms), and roads (basic: M = 979 ms; subordinate: M = 1,016 ms), but they were not significant (ts < 1.629, ps > .115)."
